codigo,descricao,consumo_cnae,Caracteristica,Manual
111301,Cultivo de arroz,,Verificar,Alto Consumo
111302,Cultivo de milho,"193,957.00",Alto consumo,Alto Consumo
111303,Cultivo de trigo,,Verificar,Alto Consumo
111399,Cultivo de outros cereais não especificados anteriormente,,Verificar,Alto Consumo
112101,Cultivo de algodão herbáceo,"1,268,890.00",Alto consumo,Alto Consumo
112102,Cultivo de juta,,Verificar,Alto Consumo
112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,,Verificar,Alto Consumo
113000,Cultivo de cana-de-açúcar,"19,647.10",Alto consumo,Alto Consumo
114800,Cultivo de fumo,,Verificar,Alto Consumo
115600,Cultivo de soja,"3,764,810.00",Alto consumo,Alto Consumo
116401,Cultivo de amendoim,"26,874.60",Alto consumo,Alto Consumo
116402,Cultivo de girassol,,Verificar,Alto Consumo
116403,Cultivo de mamona,,Verificar,Alto Consumo
116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,,Verificar,Alto Consumo
119901,Cultivo de abacaxi,,Verificar,Alto Consumo
119902,Cultivo de alho,"215,013.00",Alto consumo,Alto Consumo
119903,Cultivo de batata-inglesa,,Verificar,Alto Consumo
119904,Cultivo de cebola,,Verificar,Alto Consumo
119905,Cultivo de feijão,,Verificar,Alto Consumo
119906,Cultivo de mandioca,,Verificar,Alto Consumo
119907,Cultivo de melão,,Verificar,Alto Consumo
119908,Cultivo de melancia,,Verificar,Alto Consumo
119909,Cultivo de tomate rasteiro,,Verificar,Alto Consumo
119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,,Verificar,Alto Consumo
121101,"Horticultura, exceto morango","86,759.40",Alto consumo,Alto Consumo
121102,Cultivo de morango,,Verificar,Alto Consumo
122900,Cultivo de flores e plantas ornamentais,,Verificar,Alto Consumo
131800,Cultivo de laranja,"1,560,580.00",Alto consumo,Alto Consumo
132600,Cultivo de uva,"134,347.00",Alto consumo,Alto Consumo
133401,Cultivo de açaí,"194,693.00",Alto consumo,Alto Consumo
133402,Cultivo de banana,,Verificar,Alto Consumo
133403,Cultivo de caju,,Verificar,Alto Consumo
133404,"Cultivo de cítricos, exceto laranja","298,119.00",Alto consumo,Alto Consumo
133405,Cultivo de coco-da-baía,"92,695.90",Alto consumo,Alto Consumo
133406,Cultivo de guaraná,,Verificar,Alto Consumo
133407,Cultivo de maçã,"1,394,160.00",Alto consumo,Alto Consumo
133408,Cultivo de mamão,"35,943.60",Alto consumo,Alto Consumo
133409,Cultivo de maracujá,,Verificar,Alto Consumo
133410,Cultivo de manga,,Verificar,Alto Consumo
133411,Cultivo de pêssego,,Verificar,Alto Consumo
133499,Cultivo de frutas de lavoura permanente não especificadas anteriormente,"111,985.00",Alto consumo,Alto Consumo
134200,Cultivo de café,"16,879.80",Alto consumo,Alto Consumo
135100,Cultivo de cacau,"1,463.06",Alto consumo,Alto Consumo
139301,Cultivo de chá-da-índia,,Verificar,Alto Consumo
139302,Cultivo de erva-mate,,Verificar,Alto Consumo
139303,Cultivo de pimenta-do-reino,,Verificar,Alto Consumo
139304,"Cultivo de plantas para condimento, exceto pimenta-do-reino",,Verificar,Alto Consumo
139305,Cultivo de dendê,"5,016.00",Alto consumo,Alto Consumo
139306,Cultivo de seringueira,,Verificar,Alto Consumo
139399,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,,Verificar,Alto Consumo
141501,"Produção de sementes certificadas, exceto de forrageiras para pasto","3,695,080.00",Alto consumo,Alto Consumo
141502,Produção de sementes certificadas de forrageiras para formação de pasto,"13,950.50",Alto consumo,Alto Consumo
142300,"Produção de mudas e outras formas de propagação vegetal, certificadas","322,450.00",Alto consumo,Alto Consumo
151201,Criação de bovinos para corte,"249,403.00",Alto consumo,Alto Consumo
151202,Criação de bovinos para leite,"109,910.00",Alto consumo,Alto Consumo
151203,"Criação de bovinos, exceto para corte e leite",,Verificar,Alto Consumo
152101,Criação de bufalinos,,Verificar,Alto Consumo
152102,Criação de eqüinos,,Verificar,Alto Consumo
152103,Criação de asininos e muares,,Verificar,Alto Consumo
153901,Criação de caprinos,,Verificar,Alto Consumo
153902,"Criação de ovinos, inclusive para produção de lã",,Verificar,Alto Consumo
154700,Criação de suínos,"1,596,110.00",Alto consumo,Alto Consumo
155501,Criação de frangos para corte,"4,871,090.00",Alto consumo,Alto Consumo
155502,Produção de pintos de um dia,"7,887,100.00",Alto consumo,Alto Consumo
155503,"Criação de outros galináceos, exceto para corte","737,698.00",Alto consumo,Alto Consumo
155504,"Criação de aves, exceto galináceos","345,399.00",Alto consumo,Alto Consumo
155505,Produção de ovos,"2,680,770.00",Alto consumo,Alto Consumo
159801,Apicultura,,Verificar,Alto Consumo
159802,Criação de animais de estimação,,Verificar,Alto Consumo
159803,Criação de escargô,,Verificar,Alto Consumo
159804,Criação de bicho-da-seda,,Verificar,Alto Consumo
159899,Criação de outros animais não especificados anteriormente,,Verificar,Alto Consumo
161001,Serviço de pulverização e controle de pragas agrícolas,,Verificar,Alto Consumo
161002,Serviço de poda de árvores para lavouras,,Verificar,Alto Consumo
161003,"Serviço de preparação de terreno, cultivo e colheita",,Verificar,Alto Consumo
161099,Atividades de apoio à agricultura não especificadas anteriormente,"947,191.00",Alto consumo,Alto Consumo
162801,Serviço de inseminação artificial em animais,,Verificar,Alto Consumo
162802,Serviço de tosquiamento de ovinos,,Verificar,Alto Consumo
162803,Serviço de manejo de animais,,Verificar,Alto Consumo
162899,Atividades de apoio à pecuária não especificadas anteriormente,"9,906.89",Alto consumo,Alto Consumo
163600,Atividades de pós-colheita,"1,778,680.00",Alto consumo,Alto Consumo
170900,Caça e serviços relacionados,,Verificar,Alto Consumo
210101,Cultivo de eucalipto,"684,574.00",Alto consumo,Alto Consumo
210102,Cultivo de acácia-negra,,Verificar,Alto Consumo
210103,Cultivo de pinus,"1,683,740.00",Alto consumo,Alto Consumo
210104,Cultivo de teca,,Verificar,Alto Consumo
210105,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",,Verificar,Alto Consumo
210106,Cultivo de mudas em viveiros florestais,844.12,Alto consumo,Alto Consumo
210107,Extração de madeira em florestas plantadas,"811,998.00",Alto consumo,Alto Consumo
210108,Produção de carvão vegetal - florestas plantadas,"77,791.10",Alto consumo,Alto Consumo
210109,Produção de casca de acácia-negra - florestas plantadas,,Verificar,Alto Consumo
210199,Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas,,Verificar,Alto Consumo
220901,Extração de madeira em florestas nativas,,Verificar,Alto Consumo
220902,Produção de carvão vegetal - florestas nativas,,Verificar,Alto Consumo
220903,Coleta de castanha-do-pará em florestas nativas,,Verificar,Alto Consumo
220904,Coleta de látex em florestas nativas,,Verificar,Alto Consumo
220905,Coleta de palmito em florestas nativas,,Verificar,Alto Consumo
220906,Conservação de florestas nativas,,Verificar,Alto Consumo
220999,Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas,,Verificar,Alto Consumo
230600,Atividades de apoio à produção florestal,"1,230,480.00",Alto consumo,Alto Consumo
311601,Pesca de peixes em água salgada,"113,314.00",Alto consumo,Alto Consumo
311602,Pesca de crustáceos e moluscos em água salgada,"83,557.20",Alto consumo,Alto Consumo
311603,Coleta de outros produtos marinhos,,Verificar,Alto Consumo
311604,Atividades de apoio à pesca em água salgada,,Verificar,Alto Consumo
312401,Pesca de peixes em água doce,,Verificar,Alto Consumo
312402,Pesca de crustáceos e moluscos em água doce,,Verificar,Alto Consumo
312403,Coleta de outros produtos aquáticos de água doce,,Verificar,Alto Consumo
312404,Atividades de apoio à pesca em água doce,,Verificar,Alto Consumo
321301,Criação de peixes em água salgada e salobra,,Verificar,Alto Consumo
